store_name,date,price,sales,product_id,product_name,category,customer_id,customer_name,region,payment_method,discount,stock_quantity
"miller, brewer and hunt",1979-04-09,,,27,Tênis!!,Roupas,8304,ian allison,BA,Pix,,
"krueger, harvey and white",2010-11-29 19:29:27,32.83,,28,Chocolate,Eletrônicos,8114,charles garcia,BA,Boleto,-5.05,73.0
Serrano LLC Str.,07/07/2000,428.49,,29,Tênis ,Eletrônicos,1410,belinda scott,MG,Cartão,,75.0
Cox-Schmidt Str.,2013-12-07,18.93,,30,Tênis ,Eletrônicos,9802,Julia Miles,RJ,Pix,,
"Powell, Davis and Walter",1997-11-17 13:48:49,259.37,,31,Smartphone ,Alimentos,3352,amanda davis,MG,Pix,,
Brooks-Gill,1976-01-30 15:36:59,45.98,,32,Chocolate!!,Alimentos,1640,Bridget Phillips,BA,Cartão,,74.0
bird inc,1987-08-14,-30.84,,33,Chocolate,Eletrônicos,7666,jennifer thomas,RS,Pix,12.44,45.0
"Bryan, Delgado and Bauer",29/06/2003,-2.25,99.0,34,Camisa,Eletrônicos,6499,Eileen Wagner,MG,Cartão,,56.0
santos inc,2000-07-05,,,35,Camisa,Alimentos,5630,Debra Austin,RJ,Cartão,,
"Watson, Stanley and Grant",12/03/1988,203.98,200.0,36,Tênis ,Alimentos,2369,Melissa Castro,BA,Cartão,,
"Hodges, Adams and Burns",25/05/1989,40.14,,37,Notebook ,Roupas,5835,Mark Hernandez,BA,cartao,28.44,51.0
banks ltd,1984-11-22,-22.08,-26.0,38,Notebook ,Roupas,5488,Joshua Clements,MG,Boleto,24.48,
Cline-Woodward,11/06/2000,165.54,86.0,39,Café ,Roupas,1614,Alexander Fitzgerald,RS,cartao,,
Mason PLC,2018-10-08 10:38:21,,,40,Tênis,Roupas,1861,Valerie Escobar,RS,Pix,-8.45,
Adkins-Rhodes,01/04/2008,,,41,Café ,Roupas,8973,Karla Warren,RJ,Pix,,
Kaufman Ltd,1970-01-26 04:43:49,266.51,,42,Café!!,Alimentos,3240,Dawn Jones,RS,Cartão,,
Miller PLC,04/04/2015,,,43,Café ,Eletrônicos,7620,Lauren Mendez,BA,Pix,,
Hicks and Sons Str.,2011-12-12,405.77,,44,Chocolate,Alimentos,4030,Leah Jennings,RS,cartao,,
lawrence llc,2006-06-11,49.7,,45,Camisa ,Eletrônicos,7512,Michael Johnson MD,SP,Boleto,,
"Rojas, Garrison and Walter",18/09/1970,,87.0,46,Café ,Eletrônicos,2766,Karen Martin,MG,Pix,,
Wade PLC Str.,05/07/1997,308.79,,47,Camisa ,Roupas,5290,chelsea kramer,SP,cartao,4.13,36.0
Forbes-Brown,1997-05-01 15:26:09,,144.0,48,Tênis,Alimentos,7324,gregory coleman,MG,Boleto,25.43,10.0
"Sullivan, Johnson and Hodges Str.",1975-04-26,,190.0,49,Smartphone,Roupas,9052,Lindsay Nichols,SP,Boleto,,32.0
Cannon PLC,1996-12-20,,44.0,50,Camisa ,Roupas,8718,Michael Barrera,RJ,Boleto,23.51,
"Gonzalez, Turner and Mullen",26/10/1978,-40.78,,51,Chocolate,Roupas,5426,Nicole Haynes,MG,Pix,,
"Williams, Cooper and Trevino",2018-11-19 13:36:23,,,52,Tênis ,Alimentos,2592,keith huang,RS,Cartão,,14.0
Mendoza-Silva,1983-01-29,-40.18,,53,Chocolate ,Roupas,4968,Kayla Diaz,RJ,cartao,29.91,48.0
martin ltd,2025-05-26 05:31:13,496.74,,54,Smartphone!!,Eletrônicos,6539,brittany gross,BA,Pix,,
Cline-Wilkinson,1982-02-02 10:43:59,,132.0,55,Chocolate ,Roupas,4945,michelle anderson md,RJ,Cartão,,18.0
"Neal, Franklin and Roy",10/09/1978,-85.08,,56,Chocolate,Alimentos,3005,paul hernandez,RS,Pix,6.21,
Thompson Ltd,09/03/2019,410.56,,57,Café ,Alimentos,6289,Wendy Smith,RS,Cartão,15.02,84.0
Harris-Stevenson,12/05/1975,,,58,Smartphone!!,Roupas,5310,Emma Turner,MG,Boleto,,48.0
Hicks Group Str.,1977-02-07 04:54:01,,,59,Camisa!!,Alimentos,6167,Casey Gregory,RS,cartao,,38.0
"Black, Lewis and Ortiz",2024-01-17,346.68,42.0,60,Camisa!!,Roupas,4848,Patrick Wright,MG,cartao,15.39,
Lyons Inc Str.,18/06/1990,,,61,Chocolate ,Roupas,9439,elizabeth jones,RS,Cartão,-9.39,
Miller-Price Str.,1973-11-01,,146.0,62,Café!!,Alimentos,1685,Robin Newton,MG,Cartão,,-3.0
Jones-Lara,1998-11-23,,46.0,63,Camisa!!,Roupas,4283,derek spears,RS,Boleto,,5.0
Taylor-Parrish,1979-04-17 18:11:09,,44.0,64,Notebook ,Eletrônicos,4857,Rebecca Arnold,SP,Pix,4.07,
"Berg, Vasquez and Brown",25/12/1976,447.89,-33.0,65,Café ,Eletrônicos,8231,Reginald Acosta,RS,Pix,9.99,
Berry-Clayton Str.,1999-08-31 04:19:19,,,66,Chocolate!!,Eletrônicos,1910,Susan Hall,BA,cartao,,
Roach-Miller,28/02/2013,,164.0,67,Camisa!!,Alimentos,3238,Nicole Barnett,MG,Cartão,,
Jackson-Moore,10/04/1991,131.76,,68,Camisa ,Alimentos,8366,Michael Melton,RS,Pix,-7.82,
"chavez, wilson and cruz",2007-07-05 19:17:22,,188.0,69,Chocolate ,Alimentos,9939,Brittany Hansen,SP,Cartão,,22.0
Hall-Carr,1984-02-02 01:39:22,,,70,Smartphone!!,Roupas,6242,Erika Jackson,BA,Cartão,4.25,
"Murphy, Stewart and King",13/02/2021,,,71,Smartphone!!,Alimentos,5220,Megan Moore,RS,Boleto,,2.0
Nguyen and Sons Str.,2025-05-31,,,72,Notebook ,Roupas,7423,Todd Salas,MG,Pix,,
"Hall, King and Barber",03/06/2023,328.51,,73,Notebook ,Alimentos,9185,James Peterson,BA,Cartão,9.74,
"shields, zimmerman and schmidt",04/06/2010,,,74,Camisa ,Eletrônicos,1390,Jasmin Young,SP,cartao,,
Lewis Group Str.,08/04/2022,196.68,,75,Chocolate,Roupas,2686,Morgan Paul,BA,cartao,27.75,
Hansen-Hill,2000-06-24 10:32:49,,-23.0,76,Notebook!!,Eletrônicos,4896,Tiffany Davis,MG,Pix,25.25,
Anderson Inc Str.,2007-09-14 17:19:11,235.61,135.0,77,Chocolate,Roupas,9448,christina mccarthy,MG,Boleto,15.22,
"Smith, Cole and Castillo Str.",1979-09-01 21:42:10,27.21,,78,Smartphone ,Roupas,6226,thomas preston,MG,Boleto,-4.98,
"Lewis, Spears and Arroyo Str.",1983-04-19 19:41:46,,,79,Notebook ,Alimentos,2365,diana franklin,SP,cartao,23.26,
"Arias, Cobb and Fletcher",27/10/2008,,-46.0,80,Notebook ,Eletrônicos,5559,Laurie Gonzalez,RS,Pix,,
armstrong-campbell,03/05/1975,,,81,Café!!,Alimentos,5459,olivia johnson,SP,Cartão,,
"rodriguez, baker and lee",2012-06-12,,,82,Café,Alimentos,4926,Holly Abbott,SP,Pix,20.82,
"Sanchez, Rodriguez and Young Str.",1975-05-05 04:38:01,,,83,Notebook ,Eletrônicos,4103,Jeffrey Miller,BA,Pix,18.62,
Pollard-Brown,1985-01-28 10:40:10,349.51,125.0,84,Camisa!!,Alimentos,3048,Brenda Chase,MG,Cartão,,11.0
Krause-Collier,1970-08-26,369.36,-3.0,85,Chocolate!!,Alimentos,7463,Nancy Ortega,MG,cartao,,26.0
"Tucker, Hughes and Pierce",2007-02-18,365.19,131.0,86,Tênis,Eletrônicos,9078,Nathan Wright,RS,cartao,,
Morgan-Cole Str.,1984-01-16,6.33,,87,Café,Roupas,5993,Richard Lopez,MG,Boleto,20.38,
grant-robinson,1989-08-08 20:38:27,-16.06,,88,Tênis,Eletrônicos,2417,joy benson,MG,cartao,,81.0
bryan-bowers,1993-03-15 03:12:29,,,89,Tênis,Eletrônicos,2712,Bryan Allen,RS,Boleto,1.81,64.0
Morris-Hall Str.,2022-05-08 14:26:12,,133.0,90,Notebook ,Alimentos,8364,Chad Lee,RJ,cartao,,61.0
"Barrera, Lucero and Snyder",1982-10-26 21:29:47,126.24,52.0,91,Camisa ,Roupas,7745,Patrick Long,MG,Cartão,,
"Robinson, Nelson and Morris",2002-11-03,,,92,Tênis!!,Roupas,4189,Dennis Boyd,SP,Pix,,43.0
"Morrison, Bray and Williams",2001-02-07 23:08:13,-98.08,,93,Café,Eletrônicos,7736,Joyce Johnson,MG,Pix,0.17,
"ward, kirk and phillips",29/11/2004,421.88,,94,Camisa,Alimentos,1700,Brian Reyes,RJ,Boleto,15.42,
Carter and Sons,1979-02-04,,,95,Camisa,Roupas,6051,christopher reyes,SP,Boleto,,71.0
Foley-Schultz,2009-01-03 14:00:33,,,96,Notebook ,Eletrônicos,9293,William Boyer,BA,Pix,,95.0
"smith, roach and phillips",2007-04-19,143.96,,97,Tênis,Roupas,5245,Lawrence Rogers,RJ,cartao,-1.15,
Hill and Sons Str.,1970-03-01,,,98,Tênis!!,Eletrônicos,6138,Tara Mills,RJ,Boleto,22.04,78.0
"Jackson, Whitaker and Turner Str.",2007-01-26 05:05:46,,,99,Tênis,Alimentos,8367,evan sutton,MG,Boleto,,
"Blackburn, Cowan and Chan Str.",02/05/1976,,,100,Notebook ,Eletrônicos,9303,jacob castro,RJ,cartao,28.42,
Williams PLC Str.,1974-12-04 12:09:01,,137.0,101,Notebook ,Roupas,8688,calvin solis,MG,Boleto,,
Anderson and Sons,25/06/1989,282.56,82.0,102,Notebook,Eletrônicos,8185,Kim Kaufman,SP,Pix,-7.22,96.0
martin group,2022-12-20,272.02,,103,Notebook ,Roupas,7873,Matthew Wheeler,SP,Boleto,,
"Mullen, Hart and Barker",18/04/2020,,75.0,104,Camisa,Alimentos,9694,brandy edwards,SP,Pix,-7.3,75.0
"Carroll, Estrada and Smith Str.",2016-02-24,339.44,,105,Café ,Eletrônicos,3724,Brenda Hill,SP,Cartão,,73.0
"valdez, burnett and rivera",20/11/1996,321.49,-17.0,106,Chocolate ,Eletrônicos,1208,Dr. Heather Curry,SP,cartao,,48.0
Cook-Herrera,1980-12-27,,,107,Smartphone ,Eletrônicos,7524,samantha gonzales,RS,cartao,2.92,
"Hernandez, Odom and Coleman",2016-01-30,,,108,Smartphone!!,Eletrônicos,5004,michael bryant,MG,Cartão,14.22,
"Walton, Robinson and Robinson Str.",2012-07-10 12:02:19,52.77,155.0,109,Chocolate!!,Roupas,9044,Peter Mueller,MG,Cartão,21.62,
Acevedo-Bryant Str.,2002-01-02 19:53:53,23.99,139.0,110,Café ,Eletrônicos,6513,Christine Barron,RJ,cartao,,41.0
watson-ortiz,1996-06-15,,-34.0,111,Camisa,Roupas,5158,Tony Ramirez,SP,Boleto,,
"Johnson, Gilbert and Miller Str.",10/11/2013,,,112,Café!!,Eletrônicos,2140,mackenzie baker,SP,Boleto,18.48,50.0
vargas group,2026-01-07,,,113,Café,Eletrônicos,4954,Kevin Fuller,RJ,Cartão,,
Hogan Inc,13/02/1970,203.89,102.0,114,Smartphone,Alimentos,9019,kristen clark,RS,cartao,26.92,93.0
Alexander Group,2023-08-28,195.67,-8.0,115,Tênis,Alimentos,1918,megan stephens,RS,Cartão,,
Anderson-Robertson Str.,1971-05-29 01:11:18,,149.0,116,Camisa ,Alimentos,8706,austin brown,SP,cartao,,
Moore-Anderson Str.,08/10/1998,,,117,Notebook,Alimentos,6464,Martin Lewis,SP,Cartão,-2.1,1.0
"Garcia, Nunez and Hines",2014-12-20,,,118,Chocolate,Eletrônicos,9273,Erin Scott,RJ,Boleto,23.58,
"flowers, martin and myers",25/05/2019,,-50.0,119,Tênis!!,Alimentos,2499,Richard Wolfe,MG,cartao,,
"Alvarez, Anderson and Ryan Str.",13/08/2016,350.8,35.0,120,Smartphone,Eletrônicos,4917,Katherine Sanchez,BA,Cartão,7.72,
owens-shaw,1997-04-30,159.28,171.0,121,Smartphone,Roupas,1119,Angela Mcguire,SP,Cartão,,
meyer and sons,1979-10-05,62.92,197.0,122,Smartphone!!,Roupas,8375,Christopher Ortiz,RS,Pix,,
"hill, mills and schmidt",2009-09-08,187.52,66.0,123,Notebook ,Alimentos,6582,Andrew Wolfe,RJ,Pix,,68.0
Carter PLC,2019-01-08 19:24:32,,5.0,124,Chocolate,Roupas,1194,Mrs. Erica Sims,SP,cartao,,
Hill Ltd,22/09/2005,91.07,,125,Smartphone,Roupas,6543,Jeffrey Carr,MG,Pix,,64.0
"Hernandez, Howell and Park Str.",09/03/1990,,61.0,126,Smartphone,Alimentos,1781,victoria black,RS,Pix,,
Brown-Soto Str.,1992-02-28 18:38:53,100.0,160.0,127,Café!!,Eletrônicos,7114,brenda hogan,RS,Pix,,55.0
Graham Group Str.,25/12/1977,153.78,,128,Chocolate!!,Roupas,6112,Kimberly Moore,MG,Pix,25.18,
Goodman-Mitchell Str.,1997-01-05,,-25.0,129,Smartphone,Eletrônicos,5581,teresa mcdaniel,BA,Boleto,,27.0
Fisher PLC,02/02/2017,,-29.0,130,Chocolate,Eletrônicos,9299,Sarah Kim,RJ,Boleto,29.07,77.0
Rodriguez-Mcmillan,22/01/1987,251.67,,131,Camisa ,Eletrônicos,4764,Michael Flores,MG,Pix,28.87,8.0
Williams-Young Str.,18/08/2011,,149.0,132,Tênis!!,Eletrônicos,2218,Brianna Ramos,RS,Boleto,,
moore-smith,2005-09-20,-45.39,134.0,133,Café!!,Roupas,9454,Jacob Matthews,MG,Pix,,
Austin-Bates Str.,2014-08-03 23:40:18,,,134,Café,Roupas,5633,Timothy Klein,RJ,cartao,2.2,
Torres-Murray Str.,16/01/1984,,-32.0,135,Café,Alimentos,2024,mrs. pamela white,RS,Boleto,-2.48,
Andrews LLC,29/09/1972,,,136,Chocolate!!,Roupas,1924,alyssa hamilton,MG,Pix,25.08,62.0
Lowe Ltd,2001-08-31,374.66,-50.0,137,Camisa ,Roupas,5843,eddie harris,SP,cartao,,
riley-tran,1979-07-11,446.76,-11.0,138,Smartphone ,Roupas,4741,matthew miller,SP,Boleto,,
lane plc,2001-01-02 21:28:59,478.66,154.0,139,Smartphone,Roupas,5524,Molly Guerra,RS,Pix,,
mcguire-heath,2016-07-18,493.1,190.0,140,Notebook,Eletrônicos,1699,Christina Johnson,MG,Cartão,,61.0
jackson-williams,2024-05-28 14:24:28,175.6,,141,Smartphone,Roupas,2747,Bobby Cuevas,SP,Pix,,43.0
"smith, hughes and bennett",1997-12-19 21:06:09,330.85,17.0,142,Notebook!!,Roupas,6125,Jacob Hogan,RJ,Cartão,9.29,68.0
brown ltd,2003-09-08,84.27,145.0,143,Tênis ,Roupas,3154,david green,MG,cartao,23.02,
Roberts Inc,2008-09-21 14:55:28,423.59,,144,Camisa,Roupas,2574,Brent Boone,MG,Boleto,,64.0
Sullivan LLC Str.,1986-09-06,,,145,Notebook ,Alimentos,9298,Katherine King,MG,Cartão,,7.0
"fletcher, green and brown",2021-02-06 05:24:25,429.7,,146,Café!!,Eletrônicos,9843,Brittany Cook,MG,cartao,-6.52,38.0
"Coleman, Noble and Sullivan",1981-08-05 22:40:33,433.96,148.0,147,Chocolate!!,Roupas,5650,kelly russell,SP,Boleto,4.58,
Willis-Daniels,23/07/1998,346.43,,148,Chocolate!!,Eletrônicos,5016,veronica bennett,SP,Boleto,,
"rivera, keller and frye",2016-06-04 11:25:21,-96.57,151.0,149,Café,Alimentos,8934,scott miller,BA,cartao,13.05,17.0
"Mcintosh, Barnes and Price Str.",2024-07-11 16:49:16,-67.94,124.0,150,Tênis,Roupas,9561,nathan huerta,RS,cartao,,40.0
hopkins-phillips,1990-06-10 03:25:26,,-21.0,151,Camisa,Roupas,2674,George Thomas,SP,Boleto,,
Frazier-Skinner Str.,07/11/2000,,,152,Chocolate ,Eletrônicos,8221,Jean King,SP,Boleto,29.13,44.0
mason-dixon,11/02/1989,321.3,,153,Camisa ,Eletrônicos,4827,Shannon Adams,MG,Pix,11.23,
Wilkinson LLC,29/03/2001,,,154,Camisa ,Alimentos,5303,katherine taylor,BA,cartao,,52.0
gamble-garcia,1986-05-03,-40.16,,155,Café ,Roupas,7565,Daniel Griffith,RS,Cartão,,33.0
"Johnson, Oliver and Simmons",18/04/1988,,25.0,156,Café ,Eletrônicos,6670,rachel cunningham,MG,Pix,,86.0
"Floyd, Gilmore and Abbott",2001-07-15,442.29,-22.0,157,Smartphone ,Roupas,3295,sean johnson,RS,cartao,,9.0
Martin LLC Str.,07/11/1982,,-19.0,158,Chocolate!!,Eletrônicos,5489,Brittany Taylor,SP,Cartão,,
Smith-Hodges Str.,03/09/1990,,,159,Smartphone,Eletrônicos,1899,aaron moore,RJ,Boleto,,
"Johnson, Winters and Chaney Str.",2012-07-07,-59.74,61.0,160,Tênis,Eletrônicos,9570,Elizabeth Blake,RS,Cartão,18.05,
Gray-Shepard,2013-08-28 15:05:22,,164.0,161,Notebook,Alimentos,9434,trevor collins,RJ,cartao,23.23,82.0
Rodriguez Inc,13/07/2000,167.16,72.0,162,Chocolate ,Eletrônicos,9301,sierra adams,SP,cartao,,
Warner and Sons Str.,2002-02-19 00:48:22,73.47,20.0,163,Camisa ,Alimentos,5746,Charles Osborn,MG,Cartão,,
"Moss, Morris and Moore",1997-05-12 05:07:30,,34.0,164,Notebook!!,Alimentos,2258,kristen guzman,BA,Cartão,20.5,19.0
mann-summers,,365.37,14.0,165,Chocolate ,Roupas,4293,Kevin Bell,RS,cartao,,98.0
"brown, martin and schmidt",1974-05-31 06:39:17,-84.97,,166,Tênis,Alimentos,4091,Craig Pena,RJ,Cartão,,
Logan Ltd,1976-09-10 16:48:33,,,167,Camisa ,Eletrônicos,1865,Lindsey Black,RS,Cartão,11.29,23.0
Ramos Group Str.,2011-09-17,,-20.0,168,Chocolate,Roupas,1033,Rebecca Myers,MG,cartao,17.17,7.0
Pearson-Mayer,1974-07-02 23:26:58,,,169,Camisa ,Alimentos,5904,Robert Kennedy,BA,Boleto,5.67,
"Lee, Davis and Lozano",2008-08-21,,71.0,170,Café,Eletrônicos,3147,Emily Scott,RJ,cartao,28.56,88.0
Sparks-Herrera,05/05/2021,-14.66,153.0,171,Smartphone!!,Alimentos,2369,melinda burke,BA,Pix,-6.85,
Summers-Adams,03/03/2008,267.78,187.0,172,Café,Eletrônicos,8464,thomas maldonado,SP,cartao,3.86,98.0
guerrero-lawson,03/09/1971,59.13,181.0,173,Tênis ,Alimentos,7086,Kimberly Summers,MG,Pix,-3.01,56.0
Henson-Kelly Str.,01/02/2001,,,174,Smartphone!!,Alimentos,7351,Justin Rocha,RJ,cartao,,
Mcdonald-Rivera,1996-02-07,,-1.0,175,Chocolate,Roupas,8186,jacqueline waters,RJ,Pix,16.41,31.0
"hernandez, ochoa and perry",27/01/1998,,,176,Café ,Roupas,6690,joseph smith,BA,Cartão,,
"King, Martinez and Jackson",2020-03-02 07:09:36,129.19,,177,Smartphone,Alimentos,6145,Carolyn Smith,RS,Cartão,,1.0
frank-moore,1970-08-10 22:01:58,400.18,49.0,178,Notebook!!,Eletrônicos,4423,samantha wolfe,MG,Cartão,14.56,
"Joseph, Rollins and Peters",1978-11-29,-17.23,,179,Smartphone ,Alimentos,4380,shannon johnson,RJ,Boleto,-7.32,
Lewis LLC,1975-05-21 03:16:22,348.37,,180,Café ,Alimentos,8400,Kevin Wong,MG,cartao,3.41,
Clark Inc,2012-08-02,,127.0,181,Camisa!!,Alimentos,5030,Ronald Shaffer,RS,Boleto,,
johnson ltd,20/03/1989,135.33,31.0,182,Chocolate ,Eletrônicos,8766,Patricia Rodriguez,BA,Pix,,
henderson plc,10/05/2016,,43.0,183,Camisa!!,Roupas,7229,Rachel Reyes,SP,cartao,13.7,
"berry, lindsey and taylor",2013-04-28 01:34:00,48.35,103.0,184,Notebook!!,Eletrônicos,9185,Carly Harrington,MG,cartao,,
Ellis-Obrien,2022-03-06 22:43:41,,,185,Camisa ,Alimentos,9496,crystal taylor,RJ,Cartão,,
"Chapman, Moore and Hammond",2018-05-30 07:36:40,,101.0,186,Café ,Alimentos,1953,chelsey taylor,MG,Cartão,,65.0
"Taylor, Stevens and Reyes",1991-09-24,,56.0,187,Chocolate ,Alimentos,6921,Kaylee Stafford,RJ,cartao,,26.0
Gonzalez-Jones,1994-10-25 21:21:58,70.29,70.0,188,Café,Eletrônicos,3918,donna jimenez,RS,Boleto,,3.0
Buck-Wilson,1998-11-01,,,189,Camisa!!,Roupas,6567,Kyle Lewis,SP,cartao,,
"Munoz, Harris and Taylor",2026-02-07,,,190,Café,Alimentos,4010,Shelly Tate,SP,cartao,,
rogers group,1972-10-29 16:32:45,52.19,131.0,191,Smartphone ,Alimentos,8316,Charles Carter,RJ,Boleto,,63.0
Lucas-Young,2002-08-07 03:44:08,6.05,,192,Tênis ,Alimentos,9867,Angela Mullins,SP,Cartão,,
moses-jimenez,03/09/1997,,,193,Café!!,Alimentos,3311,stephanie mullen,RJ,Cartão,0.57,5.0
taylor-johnson,25/11/2014,,39.0,194,Chocolate ,Alimentos,4253,Sheri Carroll,SP,Cartão,,
"black, valdez and griffin",2018-07-01,272.33,,195,Smartphone ,Eletrônicos,6949,Rodney Conway,BA,cartao,,
Silva Ltd,14/09/2018,,,196,Café,Alimentos,5626,Sharon Thompson,BA,cartao,,47.0
Cortez-Waters Str.,2001-07-05 23:34:33,427.44,,197,Chocolate!!,Alimentos,5404,Ms. Jessica Barrera,SP,Cartão,,94.0
"Allen, Dillon and Blackwell Str.",2018-02-27 23:17:35,113.39,82.0,198,Café ,Alimentos,4771,sherry ashley,RS,Cartão,15.89,42.0
"Foster, Kemp and Garcia",1994-12-22 08:35:05,497.6,,199,Smartphone ,Eletrônicos,4430,michael taylor,RJ,cartao,,
Cruz-Tucker,25/03/2006,469.08,,200,Smartphone,Alimentos,9001,Wendy Vaughan,SP,Cartão,,
"Bell, Robinson and Snyder",1979-11-09 20:51:51,,60.0,201,Camisa ,Eletrônicos,5374,Joel Guzman,BA,Cartão,,
"Smith, Flores and Mccoy",1981-03-03,229.51,,202,Smartphone,Roupas,5014,Carol Knight,SP,cartao,-5.3,42.0
williams llc,14/11/2020,298.09,,203,Tênis,Roupas,4347,Kristen Reyes,MG,Cartão,,
"Smith, Davies and Wilson",1971-02-27,,66.0,204,Smartphone ,Eletrônicos,8383,justin miller,BA,Boleto,0.79,71.0
"Kerr, Pearson and Hood",1992-11-15 06:29:34,237.29,188.0,205,Tênis!!,Alimentos,9200,victoria richardson,RS,Cartão,2.54,2.0
"Garcia, Barton and Johnson",1987-06-27,,,206,Café!!,Alimentos,9003,Justin Adams,MG,cartao,,
Castro-Klein Str.,11/12/2012,220.33,64.0,207,Notebook ,Eletrônicos,9646,jessica osborne,RS,Boleto,-3.9,-1.0
beck and sons,1999-05-06 22:24:15,,,208,Chocolate ,Roupas,9011,anthony anderson dds,RS,Cartão,,
Brown-Harris,08/10/2008,,,209,Tênis ,Eletrônicos,8150,Kristine Newton MD,RJ,Boleto,17.03,
Decker-Jackson,1995-03-19,-19.82,,210,Notebook!!,Roupas,6624,Karen Murray,BA,Pix,,42.0
Hill LLC,01/06/1976,-15.25,,211,Notebook ,Alimentos,5995,Marcus Castro,RS,cartao,9.95,16.0
Lopez PLC Str.,1977-12-12,,148.0,212,Café!!,Alimentos,3713,bonnie martin,MG,Cartão,28.46,55.0
"lee, simpson and henderson",1980-12-21,,,213,Notebook,Alimentos,1379,Teresa Rodriguez,BA,cartao,,22.0
Carter-Martinez,1986-12-22 05:51:12,,,214,Notebook!!,Alimentos,8880,carly wells,RJ,cartao,,89.0
Waters Ltd Str.,1996-08-30 21:17:20,,-20.0,215,Tênis!!,Alimentos,3244,Paul Taylor,BA,Cartão,1.72,
Marquez and Sons,2011-01-06 13:56:48,,,216,Notebook ,Eletrônicos,4727,robert russell,RS,Cartão,,
Ayala-Hughes,08/10/2017,,,217,Chocolate,Alimentos,2098,natasha johnson dds,RS,cartao,,95.0
Norman LLC Str.,1989-08-06,261.29,161.0,218,Smartphone ,Alimentos,2926,Charles Mcgee,MG,cartao,21.31,
"griffin, fowler and baker",1971-09-21 02:01:56,,71.0,219,Camisa!!,Alimentos,3190,Jeffery Gonzalez,SP,cartao,2.6,6.0
Walls-Rodriguez Str.,20/05/2021,,,220,Camisa ,Roupas,6274,david moreno,RJ,Boleto,,1.0
"valdez, anderson and avila",,414.11,-22.0,221,Camisa!!,Roupas,7034,edward small,SP,Boleto,10.18,6.0
Reed-Taylor,14/04/2014,44.99,,222,Smartphone ,Alimentos,5142,Robert Kent,MG,Pix,6.66,
